1,Gunslinger Girl,Show,600,680,AUD 3,none,none,http://www.youtube.com/watch_popup?v=NTxoH_5CnhM
2,Angel Beats!,Show,800,880,AUD 3,none,none,http://www.youtube.com/watch_popup?v=-GQbdJb4rvE
3,Hellsing Ultimate,Show,1110,1210,AUD 3,none,none,http://www.youtube.com/watch_popup?v=jaHzKuf0Yew
4,Tenchi Muyo GXP,Show,600,680,Room B109,none,none,http://www.youtube.com/watch_popup?v=iFPH0l_9agw
5,The Wallflower,Show,680,760,Room B109,none,none,http://www.youtube.com/watch_popup?v=Ti9kbtfLxwc
6,Paniponi Dash!,Show,760,840,Room B109,none,none,http://www.youtube.com/watch_popup?v=B8oc5tRCVKY
7,Sekirei,Show,840,920,Room B109,none,none,http://www.youtube.com/watch_popup?v=W_HHA_IqQ3E
8,Hidamari Sketch,Show,920,1000,Room B109,none,none,http://www.youtube.com/watch_popup?v=VUxx7iCSekQ
9,Big Windup!,Show,1000,1080,Room B109,none,none,http://www.youtube.com/watch_popup?v=Edez8nfL0eA
10,Panty & Stocking with Garterbelt,Show,1370,1440,Room B111,none,none,http://www.youtube.com/watch_popup?v=iZbGlVqKXTM
11,Rose of Versailles,Show,600,680,Room B111,none,none,http://www.youtube.com/watch_popup?v=TonLWOr9Bz0
12,Utawarerumono,Show,680,760,Room B111,none,none,http://www.youtube.com/watch_popup?v=VLJbQuoO-zU
13,Romeo x Juliet,Show,760,840,Room B111,none,none,http://www.youtube.com/watch_popup?v=81T4TAZFxcY
14,Mushi-shi,Show,840,920,Room B111,none,none,http://www.youtube.com/watch_popup?v=FZkYfPmIMAU
15,The Irresponsible Captain Tylor,Show,920,1000,Room B111,none,none,http://www.youtube.com/watch_popup?v=qA-eHCkml18
16,Black Cat,Show,1000,1080,Room B111,none,none,http://www.youtube.com/watch_popup?v=2iJCEiOvrXo
17,Phi Brain: Puzzle of God,Show,1270,1350,Room B111,none,none,http://www.youtube.com/watch_popup?v=7-5hiOsA5sU
18,Kurau Phantom Memory,Show,1350,1430,Room B111,none,none,http://www.youtube.com/watch_popup?v=WwrnbcTAKNU
19,Ao no Exorcist,Show,600,685,Room B113,none,none,http://www.youtube.com/watch_popup?v=rTRmn8JudeU
20,Hunter x Hunter,Show,685,770,Room B113,none,none,http://www.youtube.com/watch_popup?v=U1YHr_CUiJ8
21,Samurai Flamenco,Show,770,855,Room B113,none,none,http://www.youtube.com/watch_popup?v=A8hewG1QJGw
22,Fist of the North Star,Show,855,940,Room B113,none,none,http://www.youtube.com/watch_popup?v=wAqLie4EgUc
23,Silver Spoon,Show,940,1025,Room B113,none,none,http://www.youtube.com/watch_popup?v=yJjIU_vAP-I
24,Kill la Kill,Show,1025,1110,Room B113,none,none,http://www.youtube.com/watch_popup?v=tsModToD1u0
25,Time of Eve,Show,1110,1210,Room B113,none,none,http://www.youtube.com/watch_popup?v=ERGOqSoyRF4
26,Hayate no Gotoku!,Show,1270,1355,Room B113,none,none,http://www.youtube.com/watch_popup?v=ekVn6dxfyTs
